Charge,Count,Percent,Category(1 violent or 0 non violent)
NO ARREST RECEIVED,352530.0,0.06393331045,0
23152(A) VC-DUI ALCOHOL/DRUGS,186627.0,0.03384586256,0
23152(B) VC-DUI ALCOHOL/0.08 PERCENT,169502.0,0.0307401469,0
SEE COMMENT FOR CHARGE,139560.0,0.02530999576,0
11377(A) HS-POSSESS CONTROLLED SUBSTANCE,129035.0,0.02340122745,0
459 PC-BURGLARY,124904.0,0.02265204722,Property
14601.1(A) VC-DRIVE WHILE LIC SUSPEND/ETC,113670.0,0.02061469775,0
12500(A) VC-DRIVE W/O LICENSE,110822.0,0.02009819684,0
11550(A) HS-USE/UNDER INFL CONTRLD SUBSTANCE,109094.0,0.01978481426,0
11364 HS-POSSESS CONTROL SUBSTANCE PARAPHERNA,99670.0,0.01807571853,0
11350(A) HS-POSSESS NARC CONTROL SUBSTANCE,96821.0,0.01755903625,0
VIOLATION OF PAROLE,68178.0,0.01236446612,0
242 PC-BATTERY,66240.0,0.01201299885,0
273.5(A) PC-INFLICT CORPORAL INJ SPOUSE/COHAB,64477.0,0.01169326882,0
11550 HS-USE/UNDER INFLUENCE CONTROL SUBST,60276.0,0.0109313937,0
496(A) PC-RECEIVE/ETC KNOWN STOLEN PROPERTY,58093.0,0.01053549429,0
11377(A) HS-POSSESS CNTL SUBSTANCE,56154.0,0.01018384567,0
245(A)(1) PC-FORCE/ADW NOT FIREARM:GBI LIKELY,55315.0,0.01003168827,0
3056 PC-VIOLATION OF PAROLE:FELONY,55014.0,0.009977100221,0
10851(A) VC-TAKE VEH W/O OWN CONSENT/VEH THEFT,53832.0,0.009762737832,0
148(A)(1) PC-OBSTRUCT/ETC PUBLIC OFFICER/ETC,50402.0,0.009140687922,0
853.7 PC-FAIL TO APPEAR AFTER WRITTEN PROMISE,49567.0,0.008989255947,0
14601.2(A) VC-DRIVE:LIC SUSP/ETC:DUI:SPEC VIOL,48960.0,0.008879173062,0
243(E)(1) PC-BAT:SPOUSE/EX SP/DATE/ETC,47486.0,0.00861185482,0
211 PC-ROBBERY,43833.0,0.007949362598,0
488 PC-PETTY THEFT,43589.0,0.007905111818,0
647(F) PC-DISORDERLY CONDUCT:INTOX DRUG/ALCOH,40545.0,0.007353065192,0
16028(A) VC-FAIL PROVE FIN RSP:PO REQUEST,39315.0,0.007129997731,0
273.5 PC-INFLICT CORPORAL INJ ON SPOUSE/COHAB,38858.0,0.007047118195,0
11378 HS-POSSESS CONTROL SUBSTANCE FOR SALE,38640.0,0.007007582661,0
1203.2 PC-PROBATION VIOL:REARREST/REVOKE,37897.0,0.006872835407,0
484(A) PC-THEFT,37780.0,0.006851616795,0
23152(A)/23152(B) VC-DUI:ALCOHOL/DRUGS,36643.0,0.006645415411,0
148.9(A) PC-FALSE ID TO SPECIFIC PEACE OFICERS,34265.0,0.006214151654,0
666 PC-PETTY THEFT W/PR JAIL:SPEC OFFENSES,33101.0,0.006003053667,0
459 PC-BURGLARY:SECOND DEGREE,31609.0,0.005732471023,Property
40508(A) VC-FAIL TO APPEAR:WRITTEN PROMISE,31481.0,0.005709257499,0
647(B) PC-DISORDERLY CONDUCT:PROSTITUTION,29476.0,0.005345639403,0
LOCAL ORDINANCE VIOLATION,29336.0,0.005320249611,
11359 HS-POSSESS MARIJUANA FOR SALE,28867.0,0.005235193807,0
487(A) PC-GRAND THEFT:MONEY/LABOR/PROP,28543.0,0.005176434573,0
20002(A) VC-HIT AND RUN:PROPERTY DAMAGE,28456.0,0.005160656631,0
23152(A) VC-DUI ALCOHOL,28109.0,0.005097726217,0
422 PC-THREATEN CRIME WITH INTENT TO TERRORIZE,27907.0,0.005061092374,0
496 PC-RECEIVE/ETC KNOWN STOLEN PROPERTY,26198.0,0.004751155553,0
148 PC-OBSTRUCTS/RESISTS PUBLIC OFFICER,26172.0,0.004746440306,0
594(A) PC-VANDALISM,25230.0,0.004575603275,0
647(F) PC-DISORDERLY CONDUCT:UNDER INFL DRUG,22902.0,0.004153407301,0
148(A) PC-OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,22565.0,0.004092290444,0
182(A)(1) PC-CONSPIRACY:COMMIT CRIME,22332.0,0.004050034575,0
10851 VC-TAKE VEH W/O OWN CONSENT/VEH THEFT,21167.0,0.003838755233,0
484 PC-THEFT,21132.0,0.003832407785,0
273.5(A) PC-INFLICT CORPORAL INJ:SPOUSE/COHAB,20682.0,0.003750797738,0
11350 HS-POSSESS NARCOTIC CONTROL SUBSTANCE,20294.0,0.003680431743,0
496.1 PC-RECEIVE/ETC KNOWN STOLEN PROPERTY,20068.0,0.003639445364,0
484(A) PC-THEFT OF PERSONAL PROPERTY,19881.0,0.003605531855,0
459 PC-BURGLARY:FIRST DEGREE,19777.0,0.003586670867,Property
11352(A) HS-TRANSPORT/SELL NARC/CNTL SUB,19428.0,0.003523377742,0
484(A) PC-PETTY THEFT,19087.0,0.003461535462,0
11351 HS-POSS/PURCHASE FOR SALE NARC/CNTL SUB,18990.0,0.003443943963,0
466 PC-POSSESS/ETC BURGLARY TOOLS,18801.0,0.003409667744,Property
11364(A) HS-POSSESS UNLAW PARAPHERNALIA,18713.0,0.003393708446,0
273.6(A) PC-VIO CRT ORD TO PREVNT DOMESTC VIOL,18561.0,0.003366142386,0
166(A)(4) PC-CONTEMPT:DISOBEY COURT ORDER/ETC,16982.0,0.0030797818,0
484/488 PC-THEFT/PETTY THEFT,16951.0,0.003074159775,0
11351.5 HS-POSS/PURCHASE COCAINE BASE F/SALE,16556.0,0.003002524289,0
12020(A) PC-POSSESS/MFG/SELL DANGEROUS WPN/ETC,16525.0,0.002996902264,0
148.9 PC-FALSE IDENTIFICATION TO PEACE OFFICER,16487.0,0.002990010749,0
11377 HS-POSSESS CONTROLLED SUBSTANCE,16414.0,0.002976771786,0
1203.2(A) PC-PROBATION VIOL:REARREST/REVOKE,16349.0,0.002964983668,0
14601.5(A) VC-DRIVE:LIC SUS/ETC:DUI/RFUSE TST,16046.0,0.002910032903,0
1320(A) PC-FAIL APPEAR:MISDEMEANOR CHARGE,15637.0,0.002835858439,0
11364(A) HS-POSSESS UNLAWFUL PARAPHERNALIA,15262.0,0.002767850067,0
11379(A) HS-TRANSPORT/ETC CNTL SUB,15162.0,0.002749714501,0
594(B)(1) PC-VANDALISM,14206.0,0.002576338491,0
496D(A) PC-POSSESS STOLEN VEHICLE/VESSEL/ETC,13564.0,0.002459908158,0
