NOTES,SENTENCE
,
,
,
,
"ORIGINAL OFFENSE: DU2II, POSSESSION OF A CDS WITH INTENT TO DISTRIBUTE SCHEDULE II (METH) (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: LA3, UNAUTHORIZED USE OF VEHICLE (STATUTE: 47 O.S. 4-102)
ORIGINAL PLEA: GUILTY PLEA",
,other: COUNTS TO RUN C/C AND C/C WITH CF-11-46-LINCOLN CO CASE
"ORIGINAL OFFENSE: LA3, UNAUTHORIZED USE OF VEHICLE (STATUTE: 47 O.S. 4-102)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DR3, POSSESSION OF DRUG PARAPHERNALIA (STATUTE: 63 O.S. 2-405)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: RCSP, POSSESSION OF STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: GUILTY PLEA",
,"other: ALL CONCURRENT AND TO RUN CONCCURENT WITH CF-11-2423. DEFT TO ATTEND DRUG TREATMENT PROGRAM. STATE AGREES NOT TO FILE APP TO REVOKE IN CF-06-636 AND DISMISS APPS TO REVOKE IN CF-04-2884, CF-04-665, AND CF-05-6167."
"ORIGINAL OFFENSE: RK2, SPEED NOT REASONABLE AND PROPER (STATUTE: 47 O.S. 11-801(A))
ORIGINAL PLEA: BOND FORFEITED",
,"other: ALL CONCURRENT AND TO RUN CONCCURENT WITH CF-11-2423. DEFT TO ATTEND DRUG TREATMENT PROGRAM. STATE AGREES NOT TO FILE APP TO REVOKE IN CF-06-636 AND DISMISS APPS TO REVOKE IN CF-04-2884, CF-04-665, AND CF-05-6167."
"ORIGINAL OFFENSE: BRG2, BURGLARY - SECOND DEGREE (STATUTE: 21 O.S. 1435)
ORIGINAL PLEA: GUILTY PLEA",
,"other: ALL CONCURRENT AND TO RUN CONCCURENT WITH CF-11-2423. DEFT TO ATTEND DRUG TREATMENT PROGRAM. STATE AGREES NOT TO FILE APP TO REVOKE IN CF-06-636 AND DISMISS APPS TO REVOKE IN CF-04-2884, CF-04-665, AND CF-05-6167."
"ORIGINAL OFFENSE: LMFR, GRAND LARCENY (STATUTE: 21 O.S. 1701-1708,1731)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DL1, DRIVING WHILE PRIVILEGE REVOKED (STATUTE: 47 O.S. 6-303(B))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DU2II, POSSESSION OF A CONTROLLED DANGEROUS SUBSTANCE //METH/SCHD II (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: FE1A, AGGRAVATED ATTEMPTING TO ELUDE A POLICE OFFICER (STATUTE: 21 O.S. 540A (B))
ORIGINAL PLEA: GUILTY PLEA",
,other: COUNTS TO RUN C/C AND C/C WITH CF-11-46-LINCOLN CO CASE
"ORIGINAL OFFENSE: RCSP, RECEIVING/CONCEALING STOLEN PROPERTY (STATUTE: 21 O.S. 1713)
ORIGINAL PLEA: GUILTY PLEA",
