CHARGE,CHARGE_TYPE_CLASSIFICATION
SHOPLIFTING - 3RD OFFENSE,felony
CONSPIRACY,felony
GRAND LARCENY,felony
TRUANCY,misdemeanor
TRUANCY,misdemeanor
UNAUTHORIZED ACTS WITH REGARD TO WILDLIFE WITHOUT A LICENSE OR PERMIT,misdemeanor
GRAND LARCENY,felony
INTOXICATION OR DRINKING IN PUBLIC PLACES,misdemeanor
UNLAWFUL ACTS OF PERSONS; NONINTOXICATED BEER (18-21),misdemeanor
FAILURE TO STOP/YIELD,petty_offense
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
SHOPLIFTING,misdemeanor
GRAND LARCENY,misdemeanor
SCHOOL COMPULSORY,misdemeanor
OTHER,misdemeanor
NO CHARGE NAMED,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
POSSESSION OF MARIJUANA,misdemeanor
DOMESTIC BATTERY-UNLAWFUL PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE (FAMILY/HOUSEHOLD MEMBER),misdemeanor
FRAUD AND RELATED ACTIVITY IN CONNECTION WITH ACCESS DEVICE,misdemeanor
FRAUD AND RELATED ACTIVITY IN CONNECTION WITH ACCESS DEVICE,misdemeanor
POSSESSION W/INTENT TO DELIVER CONT/SUBSTANCE,felony
DELIVERY OF A CONTROLLED SUBSTANCE,felony
POSSESSION OF COUNTERFEIT WITH INTENT TO UTTER,misdemeanor
DUI 1ST OFFENSE,misdemeanor
POSSESSION CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
CHILD NEGLECT RESULTING IN INJURY,felony
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
MINORS POSS OF ALCOHOL,misdemeanor
EXPIRED REGISTRATION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
FAIL TO DISPLAY A VALID FUEL TAX DECAL,misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
MINORS POSS OF ALCOHOL,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
CARRYING A DEADLY WEAPON WITHOUT LICENSE OR OTHER AUTHORIZATION,misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DUI,misdemeanor
COMPULSORY EDUCATION OFFENSES; PENALTIES; COST OF PROSECUTION. TRUANCY,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
UNLAWFUL ASSAULT OF A GOVERNMENT REPRESENTATIVE,misdemeanor
BATTERY ON A GOVERNMENT EMPLOYEE,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
BATTERY ON A GOVERNMENT EMPLOYEE,misdemeanor
DRIVERS MUST BE LICENSED,misdemeanor
UNLAWFUL ASSAULT OF A GOVERNMENT REPRESENTATIVE,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
OPERATING WITHOUT A CERTIFICATE OF INSPECTION,misdemeanor
SPEEDING,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
TRUANCY,misdemeanor
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
SHOPLIFTING 1ST ($79.00),misdemeanor
DOMESTIC ASSAULT,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
TRANSPORTING A CONTROLLED SUBSTANCE INTO A JAIL,felony
POSSESSION OF A CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
CARRYING A DANGEROUS WEAPON,felony
CARRYING A DANGEROUS WEAPON,misdemeanor
DOMESTIC BATTERY,misdemeanor
UNLAWFUL ACTS OF PERSONS. NONINTOXICATED BEER (18-21),misdemeanor
CONSPIRACY,misdemeanor
SHOPLIFTING,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
NO SEAT BELT,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
UNLAWFUL ACTS OF PERSONS. NONINTOXICATED BEER (18-21),misdemeanor
SHOPLIFTING,misdemeanor
CHILD NEGLECT RESULTING IN DEATH,felony
PARKING IN FIRE LANE,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DISORDERLY CONDUCT,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DRIVING UNDER THE INFLUENCE,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE SH,misdemeanor
MANUFACTURE OF A CONTROLLED SUBSTANCE (MARIJUANA),felony
CONSPIRACY,felony
ROBBERY IN THE 1ST DEGREE,felony
FLEEING FROM OFFICER; (VEHICLE),misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE,misdemeanor
NONCONSENSUAL DISCLOSURE/THREAT OF DISCLOSURE OF PRIVATE INTIMATE IMAGES,misdemeanor
TEXTING WHILE DRIVING,misdemeanor
UNLAWFUL DRINKING UNDER 21,misdemeanor
FUGITIVE FROM JUSTICE,felony
CONTRIBUTING TO THE DELINQUENCY OR NEGLECT OF A MINOR,misdemeanor
DRIVING SUSPENDED/REVOKED - NON DUI,misdemeanor
CONTRIBUTING TO THE DELINQUENCY OR NEGLECT OF A MINOR,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
1. DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
2. BATTERY ON A LAW ENFORCEMENT OFFICER,misdemeanor
4. OBSTRUCTING AN OFFICER,misdemeanor
CULTIVATION OF MARIJUANA,felony
6. UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
DOMESTIC BATTERY,misdemeanor
5. OBSTRUCTING AN OFFICER,misdemeanor
3. BATTERY ON A LAW ENFORCEMENT OFFICER,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
FAILURE TO MAINTAIN CONTROL,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DRIVING ON SUSPENDED / REVOKED LICENSE NON DUI - 3RD OFFENSE,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
DRIVING ON SUSPENDED / REVOKED LICENSE NON DUI,misdemeanor
DRIVING ON SUSPENDED / REVOKED LICENSE NON DUI,misdemeanor
DRIVING WHILE LICENSE REVOKED - DUI,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
DRIVING WHILE LICENSE REVOKED - DUI,misdemeanor
FALSE INFORMATION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION OF COCAINE,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
OBSTRUCTING AN OFFICER,misdemeanor
BATTERY,misdemeanor
FELON IN POSSESSION OF A FIREARM,felony
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
BURGLARY,felony
POSSESSION WITH INTENT TO DELIVER A CONTROLLED SUBSTANCE,felony
POSSESSION OF MARIJUANA,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
POSSESSION WITH INTENT TO DELIVER COCAINE,felony
FUGITIVE FROM JUSTICE,petty_offense
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
POSSESSION OF PCP,misdemeanor
CONSPIRACY TO POSSESS WITH INTENT TO DELIVER COCAINE,felony
RESISTING ARREST,misdemeanor
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
CONSPIRACY TO DELIVER COCAINE,felony
FALSE INFORMATION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,felony
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,felony
POSSESSION OF COCAINE,misdemeanor
POSSESSION WITH INTENT TO DELIVER MARIJUANA,felony
SHOPLIFTING,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
SHOPLIFTING SECOND OFFENSE,misdemeanor
POSSESSION WITH INTENT TO DELIVER,felony
POSSESSION WITH INTENT TO DELIVER,felony
POSSESSION WITH INTENT TO DELIVER,felony
POSSESSION OF A CONTROLLED SUBSTANCE,misdemeanor
ACCESSORY TO GRAND LARCENY,felony
DRIVING ON AS SUSPENDED/REVOKED LICENSE NON-DUI,misdemeanor
OPERATION OF VEHICLE WITH SAFETY BELTS,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
TRESPASSING,misdemeanor
STALKING,misdemeanor
TRESPASSING,misdemeanor
PERSONS PROHIBITED FROM POSSESSING A FIREARM,misdemeanor
SHOOTING NEAR ROADWAY,misdemeanor
PERSONS PROHIBITED FROM POSSESSING A FIREARM,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
BRANDISHING DEADLY WEAPONS;THREATENING OR CAUSING BREACH OF THE PEACE;CRIMINAL PENALTIES,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
SHOPLIFTING 3RD OFFENSE,felony
FALSE PRETENSES,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
CHILD PASSENGER SAFETY DEVICE REQUIRED;CHILD SAFETY SEATS AND BOOSTER SEATS,petty_offense
RECEIVING/TRANSFERRING STOLEN VEHICLE,misdemeanor
RECEIVING TRANSFERRING STOLEN GOODS,misdemeanor
SHOPLIFTING-2ND,misdemeanor
SHOPLIFTING,misdemeanor
SHOPLIFTING,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
FALSE PRETENSES,misdemeanor
SHOPLIFTING,misdemeanor
"NO PERSON SHALL STOP, STAND OR PARK A VEHICLE UNLESS NECESSARY IN A PUBLIC DRIVEWAY",misdemeanor
INTERFERENCE WITH OFFICERS OR MEMBERS (WVSP);FALSE INFORMATION,misdemeanor
DOMESTIC BATTERY,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
SPEEDING,misdemeanor
SPEEDING,misdemeanor
NO SEATBELT,misdemeanor
ILLEGAL PASSING,misdemeanor
RECKLESS DRIVING,misdemeanor
EXPIRED INSPECTION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
CONSPIRACY,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
BATTERY- MAKING PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE/CAUSING PHYSICAL HARM TO ANOTHER,misdemeanor
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
OPERATION WITHOUT CERTIFIED INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
OPERATION WITHOUT CERTIFIED INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
UNAUTHORIZED ACTS WITH REGARD TO WILDLIFE WITHOUT LICENSE OR PERMIT,misdemeanor
OPERATION WITHOUT CERTIFIED INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
MALICIOUS OR UNLAWFUL ASSAULT CAUSING BODILY INJURY,felony
DOMESTIC BATTERY,misdemeanor
CHILD ABUSE RESULTING IN INJURY,felony
DOMESTIC BATTERY,misdemeanor
MALICIOUS OR UNLAWFUL ASSAULT CAUSING BODILY INJURY,felony
CHILD ABUSE RESULTING IN INJURY,felony
SPEEDING,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
SPEEDING,misdemeanor
INTERFERENCE WITH OFFICERS OR MEMBERS (WVSP) FALSE INFORMATION,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
DRIVING SUSPENDED/REVOKED DUI,misdemeanor
SPEED LIMITATIONS GENERALLY (SCHOOL ZONE),misdemeanor
UNLAWFUL RESTRAINT,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
DOMESTIC BATTERY,misdemeanor
MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER;REPEAT OFFENSES;PENALTIES,misdemeanor
TAKING ID OF ANOTHER,felony
TAKING ID OF ANOTHER PERSON,felony
GRAND LARCENY,felony
SHOPLIFTING()$500.00 2ND OFFENSE),misdemeanor
OBSTRUCT/RESIST  OFFICER,misdemeanor
ATTEMPT TO COMMIT OFFENSE,misdemeanor
MINOR POSSESSIN ALCOHOL,misdemeanor
ATTEMPT TO COMMIT OFFENSE,misdemeanor
ENTERING BUILDING OTHER THAN DWELLING,misdemeanor
SHOPLIFTING,misdemeanor
PETIT LARCENY; PENALTIES,misdemeanor
FLEEING FROM OFFICER,misdemeanor
SPEED LIMITATIONS,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/ REVOKED NON DRIVING UNDER THE INFLUENCE,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
IMPROPER REGISTRATION,misdemeanor
SPEED LIMITATIONS GENERALLY;PENALTY(10 MPH OR LESS ABOVE),misdemeanor
NO OPERATORS,misdemeanor
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
GRAND LARCENY,felony
PETIT LARCENY,misdemeanor
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
PETIT LARCENY,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
GRAND LARCENY,felony
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
NO MOTORVEHICLE INSURANCE,misdemeanor
TRESPASSING,misdemeanor
FRAUDULENT SCHEMES,felony
CONSPIRACY,felony
EXPIRED REGISTRATION,misdemeanor
DEFECTIVE EQUIPMENT (TAIL LIGHT),misdemeanor
FAILURE TO CHANGE ADDRESS,misdemeanor
FAILURE TO PRODUCE OPERATORS,misdemeanor
"REGISTRATION CARD TO BE SIGNED, CARRIED, AND EXHIBITED ON DEMAND",misdemeanor
PASSING IN PASSING ZONES,misdemeanor
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
MALICIOUS OR UNLAWFUL ASSAULT,felony
FLEEING IN VEHICLE,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
CELL PHONE VIOLATION,misdemeanor
SPEEDING,misdemeanor
SPEEDING,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES",misdemeanor
PETIT LARCENY,misdemeanor
SHOPLIFTING,misdemeanor
EXPIRED REGISTRATION,misdemeanor
BATTERY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
DUI 3RD OFFENSE,felony
DOMESTIC BATTERY,misdemeanor
DISORDERLY CONDUCT,misdemeanor
INTERFERENCE WITH OFFICERS OR MEMBERS (WVSP) FALSE INFORMATION,misdemeanor
CONSPIRACY TO INFLICT INJURY TO PERSONS OR PROPERTY,misdemeanor
ROBBRY/AGGRAVATED,felony
ASSAULT,unknown
DUI,misdemeanor
